 ,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Aaron Gordon,DEN,27,1,0,1,11.8,0,0,2,0.0,0,0,0.0,0,0,0.0,2,1,3,3,0,0,1,2,11,0,0,9
1,Al Horford,BOS,36,1,1,0,9.6,0,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,1,0,1,0,0,7,0,0,8
1,Andrew Wiggins,GSW,28,1,1,0,9.8,3,1,1,100,0,0,0.0,1,2,50.0,1,3,4,0,1,0,2,1,13,0,0,-9
1,Anthony Davis,LAL,30,1,1,0,9.7,3,1,2,50.0,0,0,0.0,1,2,50.0,1,1,2,1,1,1,1,1,12,1,0,3
1,Anthony Edwards,MIN,21,1,1,0,8.0,2,1,5,20.0,0,2,0.0,0,0,0.0,0,1,1,1,0,0,1,0,8,0,0,-9
1,Austin Reaves,LAL,24,1,1,0,12.0,7,2,4,50.0,1,2,50.0,2,2,100,0,0,0,2,0,0,0,0,10,0,0,2
1,Austin Rivers,MIN,30,1,1,0,6.5,2,1,2,50.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,3,0,0,0
1,Bam Adebayo,MIA,25,1,1,0,9.2,4,1,1,100,0,0,0.0,2,2,100,0,2,2,1,1,1,0,1,10,0,0,16
1,Bogdan Bogdanovic,ATL,30,1,0,1,3.7,0,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,0,0,-2
1,Brook Lopez,MIL,35,1,0,1,11.8,11,5,9,55.6,1,1,100,0,0,0.0,2,0,2,0,1,1,0,0,15,1,0,-18
1,Bruce Brown,DEN,26,1,0,1,7.3,5,2,4,50.0,1,2,50.0,0,0,0.0,0,1,1,0,0,1,0,1,9,0,0,-6
1,Caleb Martin,MIA,27,1,1,0,11.9,10,3,3,100,2,2,100,2,2,100,1,4,5,1,0,1,0,2,21,0,0,14
1,Caris LeVert,CLE,28,1,0,1,9.8,5,2,5,40.0,0,2,0.0,1,1,100,2,0,2,0,0,0,0,0,7,0,0,-9
1,Cedi Osman,CLE,28,1,0,1,9.5,1,0,1,0.0,0,1,0.0,1,2,50.0,0,3,3,1,0,0,0,1,6,0,0,-4
1,Christian Braun,DEN,22,1,0,1,2.4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2
1,Clint Capela,ATL,28,1,0,1,6.8,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,2,1,0,1,1,0,0,2
1,Cody Zeller,MIA,30,1,1,0,2.8,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0
1,D'Angelo Russell,LAL,27,1,1,0,4.8,9,3,6,50.0,3,5,60.0,0,0,0.0,0,0,0,0,0,0,0,2,9,0,0,0
1,Darius Garland,CLE,23,1,0,1,12.0,10,3,4,75.0,2,2,100,2,2,100,0,0,0,2,0,0,0,1,13,1,0,-7
1,David Roddy,MEM,22,1,0,1,3.3,0,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,0,3,0,0,1
1,Davion Mitchell,SAC,24,1,0,1,8.7,7,3,3,100,0,0,0.0,1,1,100,1,0,1,0,1,0,0,0,7,0,0,3
1,De'Aaron Fox,SAC,25,1,0,1,8.6,12,4,9,44.4,1,2,50.0,3,4,75.0,1,3,4,0,1,0,0,0,16,0,0,2
1,De'Andre Hunter,ATL,25,1,0,1,10.8,0,0,3,0.0,0,2,0.0,0,0,0.0,0,2,2,1,0,0,0,1,4,0,0,-3
1,DeAndre Jordan,DEN,34,1,0,1,1.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,2
1,Dejounte Murray,ATL,26,1,0,1,11.3,7,3,5,60.0,1,2,50.0,0,0,0.0,1,1,2,1,1,0,0,3,10,0,0,-3
1,Dennis Schroder,LAL,29,1,1,0,12.0,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,2
1,Derrick White,BOS,28,1,1,0,6.6,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,2
1,Desmond Bane,MEM,24,1,0,1,11.0,14,5,7,71.4,1,3,33.3,3,3,100,0,2,2,0,2,0,0,2,14,0,0,-2
1,Dillon Brooks,MEM,27,1,0,1,8.7,0,0,0,0.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,0,4,0,0,-3
1,Domantas Sabonis,SAC,26,1,0,1,12.0,2,1,3,33.3,0,0,0.0,0,0,0.0,1,2,3,1,1,0,1,1,9,0,0,9
1,Donovan Mitchell,CLE,26,1,0,1,8.9,2,1,4,25.0,0,2,0.0,0,0,0.0,0,0,0,0,1,0,0,1,1,0,0,-4
1,Donte DiVincenzo,GSW,26,1,1,0,2.2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,0,0,0
1,Draymond Green,GSW,33,1,1,0,8.3,0,0,2,0.0,0,0,0.0,0,0,0.0,0,2,2,2,0,1,1,0,11,1,0,-2
1,Duncan Robinson,MIA,29,1,1,0,11.2,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,3,0,0,16
1,Evan Mobley,CLE,21,1,0,1,4.8,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,1,0,0,-4
1,Gabe Vincent,MIA,26,1,1,0,4.6,2,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,2,3,0,0,0
1,Gary Payton II,GSW,30,1,1,0,1.3,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-7
1,Giannis Antetokounmpo,MIL,28,1,0,1,11.0,3,1,4,25.0,0,0,0.0,1,1,100,0,0,0,5,2,0,0,0,9,1,1,-14
1,Grant Williams,BOS,24,1,1,0,0.4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3
1,Grayson Allen,MIL,27,1,0,1,9.5,3,1,2,50.0,1,1,100,0,0,0.0,0,0,0,0,0,0,0,1,3,0,0,-12
1,Harrison Barnes,SAC,30,1,0,1,6.5,0,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,0,0,4
1,Immanuel Quickley,NYK,23,1,1,0,4.4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2
1,Isaac Okoro,CLE,22,1,0,1,3.8,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,-2
1,Isaiah Hartenstein,NYK,24,1,1,0,8.8,1,0,0,0.0,0,0,0.0,1,2,50.0,0,2,2,0,1,2,0,4,8,0,0,5
1,Ja Morant,MEM,23,1,0,1,8.7,1,0,4,0.0,0,1,0.0,1,2,50.0,0,1,1,1,1,0,0,1,3,0,0,-3
1,Jalen Brunson,NYK,26,1,1,0,12.0,8,3,6,50.0,2,3,66.7,0,0,0.0,0,1,1,2,0,0,0,1,12,0,0,7
1,Jamal Murray,DEN,26,1,0,1,7.5,0,0,4,0.0,0,2,0.0,0,0,0.0,0,2,2,0,1,0,0,1,1,0,0,7
1,Jaren Jackson Jr.,MEM,23,1,0,1,12.0,2,1,3,33.3,0,1,0.0,0,0,0.0,1,2,3,0,1,0,3,2,14,1,0,-2
