PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
JEWELL LOYD,SEA,29,23,6,17,35.2,24.3,7.3,19.1,38.5,3.4,8.6,39.4,6.2,7.1,87.7,1.3,3.3,4.6,3.7,3.2,1.1,0.5,1.9,39.1,0,0,-3.4
BREANNA STEWART,NYL,28,25,19,6,34.2,23.2,7.6,16.2,46.7,2.0,5.2,39.2,6.0,7.0,85.7,1.4,7.8,9.2,3.6,1.7,1.4,1.4,2.0,43.6,12,0,6.6
NAPHEESA COLLIER,MIN,26,24,11,13,33.3,21.8,8.0,16.6,48.4,1.2,3.8,30.8,4.5,5.4,83.7,1.7,6.3,7.9,2.5,2.2,1.6,1.1,2.5,38.8,6,0,-3.3
ARIKE OGUNBOWALE,DAL,26,25,14,11,37.3,21.6,7.7,19.2,40.0,2.8,8.6,32.2,3.4,4.0,86.0,0.5,2.8,3.3,4.6,2.8,1.7,0.1,2.7,36.0,1,0,4.5
A'JA WILSON,LVA,26,25,23,2,30.8,20.7,7.5,13.6,55.2,0.2,0.8,25.0,5.6,7.2,77.7,2.1,7.4,9.4,2.0,1.5,1.3,2.3,2.3,39.7,15,0,13.5
NNEKA OGWUMIKE,LAS,33,24,9,15,31.6,19.9,7.5,14.6,51.0,0.6,1.8,34.1,4.3,4.8,90.4,1.7,7.4,9.1,2.7,2.1,1.7,0.7,2.5,37.1,11,0,-0.5
KELSEY PLUM,LVA,28,24,22,2,31.6,19.7,6.9,13.7,50.5,2.3,6.0,37.5,3.6,3.9,91.5,0.3,2.4,2.6,4.2,2.2,1.0,0.0,2.3,30.6,0,0,16.8
DEWANNA BONNER,CON,35,25,18,7,31.2,19.2,6.3,14.7,42.9,2.0,6.0,34.0,4.6,5.3,85.7,0.7,4.7,5.4,2.2,1.5,1.2,0.5,1.4,32.4,1,0,6.4
KAHLEAH COPPER,CHI,28,24,10,14,31.4,18.8,7.0,15.3,45.8,1.7,4.1,40.8,3.2,4.1,77.6,0.8,3.8,4.6,1.9,2.5,0.8,0.3,2.5,29.0,0,0,-2.8
JACKIE YOUNG,LVA,25,25,23,2,31.5,18.6,6.6,12.2,54.4,2.3,4.9,47.5,3.0,3.7,81.7,0.5,3.5,4.0,3.7,1.7,1.4,0.2,1.6,31.8,0,0,14.1
ALLISHA GRAY,ATL,28,25,14,11,33.3,18.2,6.2,12.7,48.9,1.2,3.1,39.0,4.6,5.8,80.0,1.4,3.8,5.2,3.5,2.2,1.1,0.3,2.4,31.0,2,0,0.0
BRITTNEY GRINER,PHO,32,20,6,14,27.9,18.2,7.1,12.4,57.3,0.1,0.3,16.7,4.0,4.9,80.6,1.4,5.3,6.7,2.0,2.4,0.5,1.7,2.3,31.3,4,0,-3.3
ELENA DELLE DONNE,WAS,33,15,8,7,29.9,18.2,6.9,13.9,49.3,1.1,2.7,39.0,3.4,3.5,96.2,1.2,4.8,6.0,2.6,1.7,0.8,0.9,2.4,31.3,2,0,5.5
RHYNE HOWARD,ATL,23,25,14,11,32.4,17.9,6.0,14.6,40.9,2.8,7.4,38.0,3.2,4.1,77.7,0.8,3.8,4.6,3.2,2.1,1.4,0.6,2.9,32.5,1,0,1.2
SATOU SABALLY,DAL,25,25,14,11,33.0,17.6,6.0,13.8,43.3,1.6,4.6,34.8,4.1,4.8,86.6,2.5,6.7,9.2,3.9,2.8,1.5,0.3,3.5,36.0,14,1,4.4
NATASHA HOWARD,DAL,31,25,14,11,33.4,17.4,6.8,14.7,46.0,1.0,3.4,29.4,2.9,3.3,86.7,2.3,6.0,8.3,1.8,2.6,1.3,1.2,3.8,33.5,10,0,3.0
SABRINA IONESCU,NYL,25,23,18,5,31.6,16.6,5.1,12.8,39.8,3.5,8.0,44.0,2.9,3.3,86.8,1.0,5.3,6.3,5.9,2.7,0.9,0.3,1.7,34.8,2,1,6.6
KELSEY MITCHELL,IND,27,25,6,19,33.2,16.4,5.7,13.6,41.8,2.3,6.2,36.5,2.8,3.3,83.1,0.2,1.2,1.4,3.2,2.0,0.9,0.0,1.8,25.0,0,0,-3.0
BRIONNA JONES,CON,27,13,10,3,31.7,15.9,6.2,10.8,57.1,0.2,0.3,50.0,3.5,4.5,77.6,3.2,5.0,8.2,2.4,2.2,1.8,0.5,4.1,31.4,4,0,5.1
NALYSSA SMITH,IND,22,19,5,14,28.8,15.6,6.2,13.3,46.6,0.5,2.3,22.7,2.7,3.6,75.0,2.4,7.3,9.7,1.5,2.8,0.4,0.2,3.2,28.4,9,0,-2.8
DIANA TAURASI,PHO,41,17,5,12,28.3,15.3,4.8,12.2,39.6,2.3,7.2,31.7,3.4,3.9,85.1,0.0,3.5,3.5,5.2,3.1,0.6,0.6,2.7,28.6,1,0,-4.5
CHELSEA GRAY,LVA,30,25,23,2,32.1,15.1,5.5,10.9,50.2,1.6,3.6,44.4,2.5,2.8,91.3,0.2,3.4,3.6,6.9,2.6,1.5,0.6,1.8,31.4,5,0,13.4
ALYSSA THOMAS,CON,31,25,18,7,36.4,14.6,5.6,12.4,45.3,0.0,0.0,0.0,3.3,4.8,69.2,2.0,7.7,9.8,8.1,3.2,1.8,0.5,2.7,37.1,17,4,6.0
BRITTNEY SYKES,WAS,29,25,12,13,30.1,14.5,5.0,11.6,43.3,1.0,3.1,33.3,3.5,4.3,80.6,1.0,3.9,4.8,3.5,2.4,2.2,0.3,2.9,29.0,2,0,2.0
MARINA MABREY,CHI,26,24,9,15,29.8,14.5,5.0,12.6,39.4,2.0,5.3,37.8,2.6,3.1,82.7,0.8,3.1,3.9,3.8,2.2,0.6,0.4,2.4,26.3,0,0,-2.5
ALIYAH BOSTON,IND,21,25,6,19,30.4,14.4,5.7,9.6,59.4,0.1,0.1,66.7,3.0,3.7,79.6,2.9,4.8,7.8,2.1,1.7,1.1,1.2,3.3,28.9,4,0,-2.9
JORDIN CANADA,LAS,27,23,9,14,31.7,13.6,4.7,10.7,43.3,1.1,3.0,36.2,3.2,3.5,91.4,0.3,2.9,3.2,5.9,2.7,1.7,0.2,2.3,27.6,1,0,0.3
EZI MAGBEGOR,SEA,23,25,6,19,32.4,13.6,5.4,11.0,49.3,0.6,2.0,32.7,2.2,3.2,67.5,1.6,6.5,8.1,2.4,2.3,1.3,2.0,3.0,31.2,7,0,-2.8
CHEYENNE PARKER,ATL,30,25,14,11,25.0,13.4,5.1,10.8,47.2,0.3,1.3,24.2,3.0,3.5,85.1,2.4,4.6,7.0,1.6,2.5,1.2,1.5,2.6,27.7,6,0,0.8
DIAMOND MILLER,MIN,22,18,9,9,25.1,13.2,4.7,11.4,41.3,0.8,2.8,27.5,2.9,3.7,80.3,0.7,3.1,3.7,2.7,1.9,1.1,0.4,3.1,23.4,0,0,-1.2
KAYLA MCBRIDE,MIN,31,24,13,11,31.0,12.9,4.4,10.3,42.3,2.1,5.9,35.2,2.0,2.4,86.0,0.3,2.9,3.2,1.9,1.5,1.3,0.2,1.3,22.9,0,0,-4.0
TEAIRA MCCOWAN,DAL,26,15,10,5,27.5,12.9,5.4,9.5,57.0,0.0,0.1,0.0,2.1,3.7,56.4,4.1,5.1,9.3,1.5,1.5,0.7,1.2,3.3,27.3,6,0,9.4
NATASHA CLOUD,WAS,31,22,10,12,31.9,12.5,4.0,10.5,37.9,1.0,3.9,26.7,3.5,3.8,90.5,0.1,3.3,3.4,6.0,2.5,1.3,0.3,2.3,26.0,1,0,0.2
ARIEL ATKINS,WAS,27,19,11,8,27.9,12.5,4.2,10.2,40.9,1.7,5.2,33.3,2.4,2.6,92.0,0.6,2.8,3.4,2.7,1.5,1.1,0.4,3.2,23.4,1,0,2.2
LEXIE BROWN,LAS,28,12,6,6,30.3,12.4,4.5,9.3,48.6,2.3,5.4,41.5,1.2,1.3,87.5,0.2,1.9,2.1,2.4,1.3,0.9,0.3,1.2,21.5,0,0,0.3
